Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
7,S,38,NORMAL,2,1,10.5
10,S,36,RENTA_MASIVA,1,1,5.21
9,S,34,NORMAL,1,1,
9,S,34,RENTA_MASIVA,1,1,
8,S,40,NORMAL,1,1,
8,S,32,NORMAL,3,2,19.73
7,S,71,NORMAL,1,4,33.76
10,C,53,RENTA_MASIVA,1,1,2.03
9,S,32,RENTA_MASIVA,1,1,41.05
10,S,33,RENTA_MASIVA,1,1,
8,S,34,RENTA_MASIVA,1,1,
10,C,49,PREMIUM,5,4,11.16
7,S,43,RENTA_MASIVA,1,2,1.13
5,S,51,RENTA_MASIVA,1,2,31.95
10,C,45,PREMIUM,2,1,6.7
10,D,58,PREMIUM,6,1,0.2
10,S,43,RENTA_MASIVA,1,2,7.66
2,C,33,RENTA_MASIVA,1,1,3.2
10,S,42,EMPRESAS,2,3,5.3
5,C,54,PREMIUM,2,3,9.91
9,S,39,RENTA_MASIVA,1,1,2.91
5,S,61,RENTA_MASIVA,1,2,43.08
9,C,38,RENTA_MASIVA,1,1,4.76
10,C,40,PREMIUM,1,1,6.26
6,S,38,PREMIUM,1,2,0.9
10,S,48,RENTA_MASIVA,1,1,13.1
1,S,37,RENTA_MASIVA,1,1,
10,S,43,PREMIUM,2,1,7.6
8,S,62,RENTA_MASIVA,1,1,9.31
8,V,55,NORMAL,1,1,16.51
5,C,44,PREMIUM,3,3,6.16
10,C,59,PREMIUM,1,1,5.75
5,C,39,NORMAL,1,3,9.55
10,S,34,RENTA_MASIVA,1,1,9.83
8,S,36,NORMAL,2,1,10.35
8,S,41,PREMIUM,3,2,1.71
7,S,57,PREMIUM,2,3,3.15
8,C,69,PREMIUM,1,1,
7,C,34,PREMIUM,1,1,27.95
9,S,52,PREMIUM,2,7,7.08
10,C,52,PREMIUM,2,4,6.45
8,C,60,NORMAL,1,1,34.38
9,S,33,NORMAL,1,1,20.25
10,S,35,PREMIUM,1,1,10.65
9,S,63,RENTA_MASIVA,1,2,39.03
5,S,35,NORMAL,2,1,30.35
8,S,52,EMPRESAS,1,2,3.95
10,C,52,PREMIUM,3,1,5.93
10,S,34,NORMAL,1,2,12.73
2,S,31,NORMAL,1,1,
8,S,36,RENTA_MASIVA,2,1,31.08
7,C,41,PREMIUM,2,2,18.28
9,S,46,EMPRESAS,3,1,
8,C,40,RENTA_MASIVA,1,1,
10,S,55,NORMAL,1,1,12.11
10,C,62,EMPRESAS,4,1,12.53
7,S,35,NORMAL,1,1,9.98
1,C,49,PREMIUM,4,1,4.86
8,S,41,RENTA_MASIVA,1,1,16.88
9,S,42,PREMIUM,1,1,
6,S,57,RENTA_MASIVA,1,1,20.03
5,S,62,NORMAL,1,2,5.33
10,S,33,PREMIUM,5,3,49.71
9,C,53,RENTA_MASIVA,1,2,0.8
1,S,31,RENTA_MASIVA,1,1,26.43
10,C,48,PREMIUM,3,3,1.45
3,S,36,RENTA_MASIVA,1,1,3.78
8,S,33,RENTA_MASIVA,1,1,
1,S,33,RENTA_MASIVA,1,1,33.35
9,S,39,PREMIUM,1,1,3.51
7,C,33,NORMAL,1,1,21.5
8,S,55,PREMIUM,3,1,3.05
8,S,34,NORMAL,1,1,11.23
10,S,32,PREMIUM,1,1,
7,S,46,RENTA_MASIVA,1,1,0.21
8,S,40,NORMAL,1,1,31.1
10,S,38,RENTA_MASIVA,1,1,12.76
10,D,42,NORMAL,1,1,4.35
10,C,52,PREMIUM,2,2,8.73
10,C,66,NORMAL,2,1,7.03
5,S,41,RENTA_MASIVA,1,1,25.88
10,S,39,PREMIUM,1,4,8.11
10,S,33,RENTA_MASIVA,1,1,
10,S,71,NORMAL,1,1,10.18
6,C,56,RENTA_MASIVA,1,1,21.88
10,S,50,RENTA_MASIVA,1,2,9.01
10,S,58,PREMIUM,2,1,
10,S,37,PREMIUM,3,2,1.18
10,S,47,RENTA_MASIVA,2,2,
10,S,38,NORMAL,1,1,14.25
10,S,46,PREMIUM,1,2,
10,S,35,RENTA_MASIVA,1,1,7.28
9,S,41,PREMIUM,1,1,7.63
9,S,54,PREMIUM,1,2,2.76
6,S,39,RENTA_MASIVA,1,1,11.03
8,S,42,RENTA_MASIVA,1,1,5.56
6,S,35,RENTA_MASIVA,1,1,26.83
8,S,35,NORMAL,1,2,15.5
10,C,71,PREMIUM,5,3,1.91
4,S,34,RENTA_MASIVA,1,1,
10,C,47,PREMIUM,2,1,4.91
10,S,35,PREMIUM,2,3,0.21
