id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,price_period,title
ym1hhOV4r/sdmb/NZdg2wQ==,Propiedad,2020-01-22,9999-12-31,2020-01-22,-34.612215,-58.43006999999999,Argentina,Capital Federal,Almagro,,,,4.0,3.0,1.0,162.0,134.0,300000.0,,VENTA DE PH EN ALMAGRO
ym3N/LC41hNUUExyt0CTkg==,Propiedad,2019-12-08,2020-03-15,2019-12-08,-34.581720000000004,-58.454412,Argentina,Capital Federal,Chacarita,,,,4.0,3.0,1.0,135.0,112.0,279000.0,,VENTA PH 4 AMB TERRAZA FRENTE COLEGIALES
ym4rCp194C+6DNX8g6rfrg==,Propiedad,2020-02-04,9999-12-31,2020-02-04,-34.632993799999994,-58.4191723,Argentina,Capital Federal,Boedo,,,,3.0,2.0,2.0,98.0,65.0,134900.0,,PH Boedo 3a +tza quinch+bo 65m 98mtot Castro1700 u$s134.900
ymSHfMBj0u84ErtmO8kiiQ==,Propiedad,2020-03-07,9999-12-31,2020-03-07,-34.655501,-58.587408999999994,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Villa Luzuriaga,,,2.0,1.0,1.0,31.0,31.0,52000.0,,"PH 2amb VILLA LUZURIAGA. COCHERA,SIN EXPENSAS.VTA."
ymW5aqyzsp+r8/VpeMI11Q==,Propiedad,2020-02-07,2020-05-15,2020-02-07,-32.967283,-60.6521216,Argentina,Capital Federal,,,,,3.0,2.0,1.0,,,74000.0,,VENTA CASA  2 DORM . PATIO . TERRAZA. QUINCHO CON PARRILLERO . (ESPAÑA 2700)
ymYwG02XAnsuYFNSXQHqvw==,Propiedad,2020-03-11,2020-03-15,2020-03-11,-34.5870996,-58.47070179999999,Argentina,Capital Federal,Villa Ortuzar,,,,3.0,2.0,1.0,68.0,60.0,99000.0,,Av Chorroarín 900 Villa Ortúzar PH 3amb U$99.000 Apto Prof
ymaRe3dBa6WtmMpZeQjHeQ==,Propiedad,2019-09-05,9999-12-31,2019-09-05,-34.561051,-58.48340579999999,Argentina,Capital Federal,Villa Urquiza,,,,6.0,,2.0,150.0,100.0,220000.0,Mensual,PH - Villa Urquiza
ymfyotc8ymylQIco9SMRJg==,Propiedad,2019-09-17,2020-05-07,2019-09-17,-34.6565355,-58.647730200000005,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Castelar,,,3.0,,1.0,120.0,120.0,95000.0,Mensual,Casa Ph 3 Ambientes - Castelar Sur
ymg2sIw9rPlxO2A5PRvfag==,Propiedad,2020-01-07,2020-01-24,2020-01-07,-34.6097156,-58.4433275,Argentina,Capital Federal,Caballito,,,,4.0,3.0,2.0,94.0,94.0,289100.0,,Depto.tipo casa de 4 ambientes en Venta en Caballito
ymq8G4YZifJ4wtwTKtyfpg==,Propiedad,2019-11-03,2019-12-23,2019-11-03,-34.5842076,-58.473912600000006,Argentina,Capital Federal,Parque Chas,,,,2.0,1.0,1.0,45.0,45.0,118000.0,,VENTA PH 2 AMB. A ESTRENAR TORRENT  1200  PARQUE CHAS
ymrcOzc5cnaE4z4+10nEwg==,Propiedad,2020-03-21,9999-12-31,2020-03-21,,,Argentina,Córdoba,Córdoba,Centro,,,3.0,0.0,1.0,,,155400.0,,NO TE LO PIERDAS. EMPRENDIMIENTO EN POZO. CENTRO
ymyQk5U3BvF1kC46IaCU/A==,Propiedad,2020-01-30,9999-12-31,2020-01-30,-27.358836,-55.930703099999995,Argentina,Capital Federal,,,,,3.0,1.0,1.0,,,35000.0,,VENDE CASA 1 DORM EN CHACRA 190 (Ref.#451601)LVR
yn7ZQLhVHdSiGBTJNON11Q==,Propiedad,2019-08-29,9999-12-31,2019-08-29,-34.6736571,-58.569872200000006,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,San Justo,,,3.0,,1.0,,72.0,115000.0,Mensual,PH - San Justo
