id,property_type,Barrio,lat,lon,Dist a Comisaria (km),Distancia a Hospital  Publico(km),Distancia a Estación Subte (km),Distancia a Biblioteca (km),Distancia a punto de Wifi  público(km),Distancia a Escuela Privada,Distancia a Escuela Pública,Distancia a Espacio Verde (km),Distancia a Espacio Verde (km),Calles Anegadas,Calles Anegadas,Superficie (m2),Precio M2 (U$S),Ambientes
59,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,115,3000,2
60,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,73,4726.0273973,2
61,apartment,Puerto Madero,-34.617918,-58.361795,0.5483199,1.22213,1.317000236,1.484974059,0.4644154381,0.1016265,0.701639,0.2322131,0.2322131,1.3671029,1.3256654,147,3605.4421769,4
62,apartment,Almagro,-34.623612,-58.361849,1.01596416,0.64875,1.666057097,1.320600168,0.6544124459,0.4825141,0.4230296,0.3533841,0.3507492,0.7463551,0.7172853,31,1919.3548387,2
63,apartment,Parque Centenario,-34.623612,-58.361849,1.01596416,0.64875,1.666057097,1.320600168,0.6544124459,0.4825141,0.4230296,0.3533841,0.3507492,0.7463551,0.7172853,31,1919.3548387,2
64,apartment,Almagro,-34.623612,-58.361849,1.01596416,0.64875,1.666057097,1.320600168,0.6544124459,0.4825141,0.4230296,0.3533841,0.3507492,0.7463551,0.7172853,31,1919.3548387,2
65,apartment,Puerto Madero,-34.616035,-58.361852,0.44995837,1.42124,1.159591692,1.442945889,0.3833256599,0.1081219,0.6364506,0.0874605,0.0835008,1.5737571,1.5301521,70,4071.4285714,3
66,apartment,Puerto Madero,-34.611578,-58.361867,0.57428144,1.90374,0.8890971717,1.217280789,0.5854866012,0.6041629,0.7355172,0.3016561,0.2251586,2.0664051,2.0198843,170,4382.3529412,3
67,apartment,Puerto Madero,-34.611578,-58.361867,0.57428144,1.90374,0.8890971717,1.217280789,0.5854866012,0.6041629,0.7355172,0.3016561,0.2251586,2.0664051,2.0198843,192,3281.25,3
68,apartment,Puerto Madero,-34.611578,-58.361867,0.57428144,1.90374,0.8890971717,1.217280789,0.5854866012,0.6041629,0.7355172,0.3016561,0.2251586,2.0664051,2.0198843,295,3081.3559322,3
69,apartment,Boca,-34.633371,-58.361883,0.14810769,0.63522,1.901428408,0.3180725017,0.4364012775,0.2297895,0.0426241,0.6515225,0.6506516,0.4237172,0.4237172,62,1451.6129032,3
70,apartment,Boca,-34.633371,-58.361883,0.14810769,0.63522,1.901428408,0.3180725017,0.4364012775,0.2297895,0.0426241,0.6515225,0.6506516,0.4237172,0.4237172,118,1000,2
71,apartment,Puerto Madero,-34.617943,-58.361888,0.54320933,1.21683,1.313731106,1.476012189,0.4589546616,0.104776,0.6951263,0.2379248,0.2379248,1.363041,1.3211524,87,4022.9885057,3
72,apartment,Puerto Madero,-34.6175,-58.361931,0.5113617,1.26266,1.273387178,1.487717121,0.4292722076,0.0565403,0.6716621,0.1950968,0.1950968,1.4112383,1.3686476,65,5369.2307692,1
73,apartment,Puerto Madero,-34.628335,-58.361959,0.66152806,0.36923,1.785285103,0.8113398587,0.4530994657,0.184334,0.1220273,0.2311661,0.2311661,0.2758954,0.2758954,52,3557.6923077,1
74,apartment,Puerto Madero,-34.617069,-58.361999,0.48113456,1.30683,1.233174467,1.498345182,0.4019430905,0.0202222,0.6493553,0.1587253,0.1587253,1.4578879,1.4145369,132,3409.0909091,4
75,apartment,Puerto Madero,-34.617069,-58.361999,0.48113456,1.30683,1.233174467,1.498345182,0.4019430905,0.0202222,0.6493553,0.1587253,0.1587253,1.4578879,1.4145369,132,3409.0909091,4
76,apartment,Puerto Madero,-34.613482,-58.362228,0.43258807,1.68947,0.954955778,1.265177048,0.4177196116,0.3942017,0.6275811,0.1380752,0.0922272,1.8522414,1.8054092,113,5752.2123894,3
77,apartment,Puerto Madero,-34.613482,-58.362228,0.43258807,1.68947,0.954955778,1.265177048,0.4177196116,0.3942017,0.6275811,0.1380752,0.0922272,1.8522414,1.8054092,260,4730.7692308,3
78,apartment,Puerto Madero,-34.613483,-58.362245,0.43110701,1.68905,0.9537106142,1.263833943,0.4163691109,0.3942517,0.6260674,0.1380462,0.0937758,1.8519842,1.8050899,156,4166.6666667,2
79,apartment,Puerto Madero,-34.609625,-58.362361,0.71001824,2.10966,0.7939482873,1.127769618,0.5158281079,0.7708385,0.6928265,0.345286,0.241311,2.2791322,2.2303066,200,4000,4
