PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
24,1,629,DIVORCIADO,29309.10935,198456.6652,0
36,1,494,DIVORCIADO,104970.922,112499.7515,0
36,2,,SOLTERO,34279.53287,73961.8182,0
48,3,,SOLTERO,47821.69535,70185.63051,0
24,6,866,CASADO,17307.65408,103845.9245,0
36,8,,DIVORCIADO,150081.641,197955.0412,0
12,1,850,DIVORCIADO,40542.18944,98616.13647,1
28,3,666,CASADO,105821.5305,178594.6966,0
36,3,869,CASADO,131249.6245,68465.91483,0
48,3,818,CASADO,140297.8369,158949.0883,0
24,1,674,CASADO,68516.93732,52022.79909,0
24,1,847,CASADO,68516.93732,141039.737,0
48,1,,DIVORCIADO,32000,67000,0
36,3,682,CASADO,283356.4037,388976.0021,0
24,1,499,DIVORCIADO,13701.2251,91930.80067,0
48,3,894,DIVORCIADO,92442.97827,92732.76817,0
48,1,563,CASADO,110249.7565,295614.7317,0
36,2,693,CASADO,196734.7104,465754.5226,0
48,1,909,CASADO,18630.18091,359562.4915,0
24,2,,CASADO,37620.22984,86745.6756,0
48,1,483,SOLTERO,122500,192000,0
24,2,352,SOLTERO,152517.6223,176405.9246,0
24,3,804,CASADO,62317.95513,53654.92101,0
36,1,578,CASADO,93634.40856,138461.2326,0
48,4,734,CASADO,112526.2927,374012.9913,0
18,5,875,CASADO,363299.9386,598899.1278,0
14,7,810,CASADO,305139.5422,548049.004,0
24,8,,CASADO,333518.4941,536537.2764,0
48,2,831,CASADO,379868.4572,249294.1767,0
48,3,829,CASADO,387984.4599,223346.8555,0
24,1,,CASADO,124954.1966,407938.7006,0
48,2,501,SOLTERO,81997.49125,164360.2274,0
18,2,464,CASADO,101409.759,99918.1587,1
12,5,824,CASADO,49324.41036,280035.362,0
48,3,862,CASADO,246011.5389,186301.8091,0
12,3,649,CASADO,30936.59398,117480.7366,0
24,2,567,CASADO,16524.1822,100146.5588,1
20,10,835,CASADO,130308.8586,126541.5899,0
36,11,,CASADO,157593.6975,118784.6627,0
25,3,,CASADO,190810.4676,133433.8934,0
18,1,638,CASADO,33453.78328,68623.1452,1
36,1,696,SOLTERO,202416.9155,298082.8945,0
24,6,820,CASADO,427672.1323,294230.1193,0
48,2,419,CASADO,212933.8351,131186.8226,0
