id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews
153878;Recoleta's Core for 7, 3 Bedms, 84 sqm, Sun, Quiet;739895;Chelo;RECOLETA;-345.894;-5.838.851;Entire home/apt;3946;2;63
154427;Spotless apt. in a Great location. 100% Equipped.;426566;Egle;ALMAGRO;-3.462.013;-5.841.686;Entire home/apt;1256;4;56
154548;Central to Everything;576398;Florencia;RECOLETA;-3.459.634;-5.840.592;Entire home/apt;3289;2;408
154767;Central location/2min from Metro -  Fast WiFi;426566;Egle;ALMAGRO;-3.462.032;-5.841.602;Entire home/apt;1256;5;31
156189;Cute Apartment - WiFi & Pool !!;750896;Ariel;ALMAGRO;-3.460.282;-5.842.862;Entire home/apt;3588;14;0
158056;PalermoSoho Excellent Location! steps from LaRural;758728;Mauricio;PALERMO;-3.458.259;-584.213;Entire home/apt;2511;5;48
159585;Apartment in Recoleta Juncal 2200;772165;Jorge;RECOLETA;-3.459.294;-5.840.048;Entire home/apt;2691;3;12
160611;Habitaci«¸n en Las Ca«Òitas;769336;Natalia;PALERMO;-3.456.533;-5.843.481;Private room;7175;1;8
160693;Room in the heart of SAN TELMO. Light!;769656;Daniel;SAN TELMO;-3.461.893;-5.837.242;Private room;658;7;0
161463;The Boss- 2 bedroom with balcony;319901;Ralf;PALERMO;-3.458.243;-5.842.519;Entire home/apt;9567;2;132
166699;#Lacasadelas13puertas;794376;PeHu«∏n;CABALLITO;-346.175;-5.843.867;Private room;598;1;2
166846;PENTHOUSE Duplex in Palermo with RooftopTerrace!!;794906;Jesse;VILLA CRESPO;-3.459.324;-5.843.819;Entire home/apt;5322;4;49
168298;Boutique Central Apt in BuenosAires;802023;Ana;BALVANERA;-346.056;-583.955;Entire home/apt;3588;3;18
171661;Modern 1-bedroom w/balcony -Pool É??;319901;Ralf;PALERMO;-3.459.721;-5.842.347;Entire home/apt;4126;5;250
172118;Large  Palermo Soho Loft, Close to  All;791090;Milly;PALERMO;-3.458.806;-5.842.109;Entire home/apt;6996;3;66
172135;Recoleta full equipped Apartment;523775;Silvia  Diana;RECOLETA;-3.458.976;-583.981;Entire home/apt;3348;3;62
173681;Charming apt. in heart of Recoleta;829429;Winfred;RECOLETA;-3.459.432;-583.939;Entire home/apt;1674;3;78
174761;BIG ROOM IN BEAUTIFUL STYLE HOUSE;834898;Pablo;BARRACAS;-3.465.224;-5.837.744;Private room;1555;1;132
174845;BALI /12 floor studio with balcony;319901;Ralf;RECOLETA;-3.459.452;-5.840.384;Entire home/apt;3887;3;64
175005;1 BR Apartment in Palermo Soho;836368;Daniele Y Fabricio;PALERMO;-3.458.658;-5.842.524;Entire home/apt;1794;3;167
175081;1 BR Apartment in Palermo;836368;Daniele Y Fabricio;PALERMO;-345.899;-5.842.032;Entire home/apt;1495;3;126
176318;San Telmo Vintage - Art Experience Fully Renovated;843196;Ivan;MONSERRAT;-3.461.562;-5.836.852;Entire home/apt;2810;4;146
180692;Tango and Enjoyment of Buenos Aires;865765;Hector;VILLA URQUIZA;-3.457.566;-5.848.381;Private room;4185;5;0
181627;RENT APP ARTS ;870611;Pablo;PALERMO;-3.458.246;-5.841.092;Private room;7773;30;37
183454;Lovely & Modern Apartment in Palerm;878481;Silvia;PALERMO;-3.458.176;-5.840.946;Entire home/apt;4185;7;21
186005;Modern apartment in Downtown Buenos Aires;893209;Victoria;RETIRO;-345.975;-5.837.666;Entire home/apt;3588;5;41
188154;At the heart of San Telmo  Double;906277;Magdalena;SAN TELMO;-3.462.182;-5.836.916;Private room;2392;2;57
189224;Double Room;906438;Mariel;MONSERRAT;-3.461.474;-5.838.681;Private room;1614;3;0
189706;Light Blue & Brown in PalermoSoho;915142;Alicia;PALERMO;-3.458.237;-5.842.848;Entire home/apt;1555;7;102
189867;É?Æ É?Æ Harmony  - One-bedroom apartment;319901;Ralf;RECOLETA;-3.459.426;-5.840.352;Entire home/apt;4783;3;51
190829;Green Room;906438;Mariel;MONSERRAT;-3.461.449;-5.838.702;Private room;1674;3;5
